player_id,season,std_dev,ppg
00-0000003,1999,3.632686379291956,5.106249809265137
00-0000003,2000,,-0.012500000186264515
00-0000007,1999,0.7632168589424361,0.26875001192092896
00-0000007,2000,2.210580684414326,0.6499999761581421
00-0000007,2001,5.232590163921712,0.5375000238418579
00-0000007,2003,1.5155756610751427,1.0750000476837158
00-0000007,2004,2.504928511178789,0.574999988079071
00-0000104,1999,7.928974950089097,10.487500190734863
00-0000104,2000,6.217943465465222,3.9962501525878906
00-0000108,2000,,0.09375
00-0000108,2002,,0.0625
00-0000108,2006,,0.027499999850988388
00-0000108,2011,,0.2849999964237213
00-0000145,1999,7.715773911206303,10.212499618530273
00-0000145,2000,6.928374999590166,16.0625
00-0000145,2001,6.589385413131155,5.849999904632568
00-0000145,2002,3.5911597918524327,2.0875000953674316
00-0000166,1999,6.426604018986229,4.862500190734863
00-0000166,2000,3.613493164798535,6.75
00-0000166,2001,3.9101363960445497,1.09375
00-0000166,2002,7.27829823483192,6.375
00-0000166,2003,,0.125
00-0000166,2004,3.904002860997266,5.293749809265137
00-0000166,2005,2.072795998271492,2.75
00-0000166,2006,4.013548402649898,2.875
00-0000172,1999,5.444722080266501,0.48124998807907104
00-0000210,1999,5.337736271143995,1.875
00-0000210,2000,7.361473285445216,11.793749809265137
00-0000210,2001,6.120947571428055,6.824999809265137
00-0000210,2002,5.0388778667602265,8.331250190734863
00-0000232,1999,5.80270049052156,10.074999809265137
00-0000232,2000,8.745665471896968,2.0999999046325684
00-0000232,2001,6.286652509025822,6.599999904632568
00-0000242,1999,2.082044439995901,1.712499976158142
00-0000242,2000,4.128195894197139,1.6187500953674316
00-0000242,2002,,0.0
00-0000251,1999,7.485761684995803,11.90625
00-0000251,2000,6.018092431452613,5.856249809265137
00-0000251,2001,9.128597662249387,12.006250381469727
00-0000251,2002,6.64389438002161,9.5
00-0000251,2003,5.327288092162903,2.375
00-0000251,2004,4.164027003575895,5.012499809265137
00-0000251,2005,5.0183756774122426,6.199999809265137
00-0000251,2006,2.7277572251313944,3.9124999046325684
00-0000279,1999,5.02045807898953,1.3312499523162842
00-0000279,2000,6.838035552265225,4.09375
00-0000316,1999,6.71751416839111,0.7062499523162842
00-0000316,2000,7.299760261511718,13.112500190734863
00-0000316,2001,10.99196706963392,2.6937499046325684
00-0000339,1999,3.4494444857814264,5.349999904632568
00-0000339,2000,7.559938202423332,11.524999618530273
00-0000339,2001,4.643113091463341,5.337500095367432
00-0000339,2002,3.2714675819383556,4.962500095367432
00-0000339,2003,6.69983648256107,11.181249618530273
00-0000339,2004,4.252357838778272,5.021250247955322
00-0000387,1999,5.7799275823247775,4.112500190734863
00-0000387,2000,4.434904933612379,3.887500047683716
