player_id,player_name,season,position,ppg,par
00-0034844,S.Barkley,2024,RB,20.90000107709099,14.07058940214269
00-0039139,J.Gibbs,2024,RB,20.87647022920496,14.047058554256658
00-0036900,J.Chase,2024,WR,23.705882352941178,13.435293758616728
00-0038542,B.Robinson,2024,RB,20.100000718060663,13.270589043112363
00-0032764,D.Henry,2024,RB,19.78823493508732,12.95882326013902
00-0039040,D.Achane,2024,RB,17.641176111557904,10.811764436609604
00-0035700,J.Jacobs,2024,RB,17.241176829618567,10.411765154670267
00-0034796,L.Jackson,2024,QB,25.31647087545956,10.343530093922338
00-0037840,K.Williams,2024,RB,16.00588271197151,9.176471037023209
00-0039338,B.Bowers,2024,TE,15.45294189453125,9.064706690171185
00-0037248,J.Cook,2024,RB,15.688236012178308,8.858824337230008
00-0033906,A.Kamara,2024,RB,15.605881634880514,8.776469959932214
00-0036322,J.Jefferson,2024,WR,18.67529476390165,8.404706169577201
00-0036963,A.St. Brown,2024,WR,18.59882309857537,8.32823450425092
00-0038597,C.Brown,2024,RB,15.0,8.1705883250517
00-0033553,J.Conner,2024,RB,14.929411944221048,8.100000269272748
00-0037744,T.McBride,2024,TE,14.3411766501034,7.952941445743335
00-0036223,J.Taylor,2024,RB,14.511764526367188,7.682352851418888
00-0039361,B.Irving,2024,RB,14.376470229204964,7.547058554256664
00-0033288,G.Kittle,2024,TE,13.91764741785386,7.529412213493796
00-0033293,A.Jones,2024,RB,14.211765064912685,7.382353389964385
00-0036555,C.Hubbard,2024,RB,14.211765064912685,7.382353389964385
00-0038120,B.Hall,2024,RB,14.170587876263786,7.341176201315487
00-0033897,J.Mixon,2024,RB,14.147058823529411,7.317647148581112
00-0036442,J.Burrow,2024,QB,21.930588666130514,6.957647884593291
00-0034857,J.Allen,2024,QB,21.902352725758277,6.929411944221053
00-0033858,J.Smith,2024,TE,13.07647076775046,6.6882355633903945
00-0034855,B.Mayfield,2024,QB,21.517646340762862,6.544705559225639
00-0039893,B.Thomas,2024,WR,16.705882352941178,6.435293758616728
00-0037238,D.London,2024,WR,16.517646340762866,6.247057746438417
00-0035685,D.Montgomery,2024,RB,13.042353012982536,6.212941338034237
00-0039910,J.Daniels,2024,QB,20.930588666130514,5.957647884593291
00-0039337,M.Nabers,2024,WR,16.094118006089154,5.823529411764705
00-0036275,D.Swift,2024,RB,12.617647058823527,5.788235383875228
00-0035659,T.McLaurin,2024,WR,15.752940458409926,5.4823518640854765
00-0036358,C.Lamb,2024,WR,15.494117288028493,5.2235286937040435
00-0036893,N.Harris,2024,RB,12.03529447667739,5.20588280172909
00-0030506,T.Kelce,2024,TE,11.494117288028493,5.105882083668428
00-0035261,T.Pollard,2024,RB,11.805882173426012,4.976470498477712
00-0037256,R.White,2024,RB,11.741176829618569,4.911765154670269
00-0036139,R.Dowdle,2024,RB,11.635294297162224,4.805882622213924
00-0034753,M.Andrews,2024,TE,11.10588253245634,4.717647328096275
00-0038543,J.Smith-Njigba,2024,WR,14.882352941176473,4.6117643468520235
00-0037740,G.Wilson,2024,WR,14.8176466997932,4.54705810546875
00-0036158,J.Dobbins,2024,RB,11.282353120691637,4.452941445743337
00-0033106,J.Goff,2024,QB,19.085881850298712,4.112941068761488
00-0030061,Z.Ertz,2024,TE,10.435293758616728,4.0470585542566635
00-0039165,Z.Charbonnet,2024,RB,10.805882173426012,3.9764704984777124
00-0031381,D.Adams,2024,WR,14.194117826573988,3.923529232249539
00-0036407,J.Jeudy,2024,WR,14.170587876263786,3.899999281939337
00-0039915,L.McConkey,2024,WR,14.170587876263786,3.899999281939337
00-0039384,T.Tracy,2024,RB,10.72352959127987,3.894117916331571
00-0039065,S.LaPorta,2024,TE,10.27058859432445,3.8823533899643845
00-0031408,M.Evans,2024,WR,14.141176111557904,3.8705875172334547
00-0034348,C.Sutton,2024,WR,14.135294297162224,3.8647057028377745
00-0038134,K.Walker,2024,RB,10.6588233498966,3.829411674948301
00-0034827,D.Moore,2024,WR,14.005882711971507,3.735294117647058
00-0039732,B.Nix,2024,QB,18.658824247472428,3.6858834659352038
00-0036389,J.Hurts,2024,QB,18.53647030101103,3.5635295194738053
00-0036875,R.Stevenson,2024,RB,10.347058464499082,3.517646789550782
00-0036894,P.Freiermuth,2024,TE,9.900000179515166,3.511764975155101
00-0038996,T.Kraft,2024,TE,9.60588253245634,3.217647328096275
00-0034869,S.Darnold,2024,QB,18.1152936150046,3.142352833467376
00-0036410,T.Higgins,2024,WR,13.064705343807445,2.7941167494829955
00-0037746,B.Robinson,2024,RB,9.400000179515166,2.5705885045668664
00-0033040,T.Hill,2024,WR,12.835293938131894,2.5647053438074447
00-0034960,J.Meyers,2024,WR,12.823529411764708,2.552940817440259
00-0035228,K.Murray,2024,QB,17.484705307904413,2.5117645263671893
00-0035676,A.Brown,2024,WR,12.758823170381431,2.488234576056982
00-0036997,J.Williams,2024,RB,9.288234935087315,2.458823260139016
00-0033885,D.Njoku,2024,TE,8.735294117647058,2.3470589132869932
00-0033923,K.Hunt,2024,RB,9.141176111557904,2.3117644366096046
00-0038994,J.Addison,2024,WR,12.5,2.2294114056755507
00-0037240,J.Williams,2024,WR,12.482352761661303,2.211764167336854
00-0033090,H.Henry,2024,TE,8.552940817440257,2.1647056130801925
00-0036554,N.Collins,2024,WR,12.388235653147978,2.117647058823529
00-0036259,J.Jennings,2024,WR,12.382352941176473,2.1117643468520235
00-0039064,Z.Flowers,2024,WR,12.323529411764708,2.052940817440259
00-0034829,M.Gesicki,2024,TE,8.323529411764707,1.9352942074046418
