player_id,season,recent_team,week,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points_ppr,fumbles,2pt,week_total,std_dev
00-0033757,2019,GB,9,0.0,0,0.0,0.0,0,10,100.0,1,26.0,0.0,0,17,2.3002414810413017
00-0033757,2020,GB,15,0.0,0,0.0,0.0,0,52,586.0,11,176.6,0.0,0,16,7.891900477725289
00-0033757,2021,GB,8,0.0,0,0.0,0.0,0,18,204.0,2,50.4,0.0,0,17,5.888244740951348
00-0033757,2022,GB,17,0.0,0,0.0,0.0,0,53,470.0,2,112.0,0.0,0,17,4.68213120964486
00-0033757,2023,CHI,11,0.0,0,0.0,0.0,0,11,112.0,0,22.2,0.0,0,17,2.1320498007518154
00-0033760,2017,LA,1,0.0,0,0.0,1.0,0,0,0.0,0,0.1,0.0,0,16,
00-0033760,2018,LA,2,0.0,0,0.0,19.0,0,0,0.0,0,1.9,0.0,0,16,1.3435028673957008
00-0033773,2018,NE,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,16,
00-0033787,2019,PHI,1,0.0,0,1.0,0.0,0,0,0.0,0,-2.0,0.0,0,17,
00-0033789,2018,ARI,4,0.0,0,0.0,2.0,0,7,37.0,0,10.9,0.0,0,16,2.206618841028512
00-0033789,2019,TB,5,0.0,0,0.0,10.0,0,2,13.0,0,4.3,0.0,0,17,0.8049844370620044
00-0033796,2017,CLE,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,16,
00-0033798,2020,CIN,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,16,
00-0033798,2022,HOU,2,0.0,0,0.0,0.0,0,2,6.0,0,2.6,0.0,0,17,0.4242640855706679
00-0033838,2017,NO,1,0.0,0,0.0,48.0,1,0,0.0,0,10.8,0.0,0,16,
00-0033838,2019,PIT,6,0.0,0,0.0,92.0,0,6,48.0,0,20.0,0.0,0,17,3.1142683274227276
00-0033839,2017,JAX,7,0.0,0,0.0,0.0,0,27,339.0,1,66.9,0.0,0,16,5.923359859776294
00-0033839,2018,JAX,16,0.0,0,0.0,98.0,0,66,717.0,5,181.5,1.0,0,16,5.823168558560578
00-0033839,2019,JAX,15,0.0,0,0.0,27.0,0,66,660.0,3,156.7,0.0,2,17,6.745990126813494
00-0033839,2020,JAX,1,0.0,0,0.0,0.0,0,1,4.0,0,1.4,0.0,0,16,
00-0033839,2021,MIN,8,0.0,0,0.0,0.0,0,10,68.0,0,16.800001,0.0,0,17,1.5042796537586196
00-0033840,2017,NYJ,6,0.0,0,0.0,0.0,0,9,94.0,0,18.4,0.0,0,16,2.674820897889225
00-0033840,2020,HOU,5,0.0,0,0.0,0.0,0,17,236.0,1,46.600002,0.0,0,16,6.142231042552823
00-0033854,2019,TB,16,0.0,0,0.0,17.0,2,35,286.0,0,75.3,1.0,0,17,3.035011026030617
00-0033854,2020,JAX,7,0.0,0,0.0,145.0,0,10,54.0,0,29.9,0.0,0,16,4.729240345081871
00-0033854,2021,JAX,10,0.0,0,0.0,137.0,1,13,114.0,1,50.1,0.0,0,17,5.761259501386316
00-0033854,2022,HOU,11,0.0,0,0.0,123.0,1,20,104.0,0,48.7,0.0,0,17,3.5788520264886374
00-0033854,2023,HOU,6,0.0,0,0.0,35.0,0,2,18.0,0,7.3,0.0,0,17,1.0186592336797187
00-0033855,2017,HOU,3,0.0,0,0.0,0.0,0,5,84.0,0,13.4,0.0,0,16,3.42977140771506
00-0033856,2017,JAX,13,0.0,0,0.0,1040.0,9,36,302.0,1,230.2,0.0,0,16,6.7560418051851405
00-0033856,2018,JAX,8,0.0,0,0.0,439.0,5,22,185.0,1,120.4,0.0,0,16,9.240593564659033
00-0033856,2019,JAX,15,0.0,0,0.0,1152.0,3,76,522.0,0,259.4,1.0,0,17,7.236659702500934
00-0033856,2020,TB,12,0.0,0,0.0,367.0,6,36,233.0,0,132.0,0.0,0,16,7.723517894847376
00-0033856,2021,TB,14,0.0,0,0.0,812.0,8,69,454.0,2,255.6,0.0,0,17,9.915699433618075
00-0033856,2022,TB,16,0.0,0,1.0,668.0,3,73,523.0,3,226.1,0.0,0,17,8.291419126637882
00-0033856,2023,BUF,2,0.0,0,0.0,40.0,0,0,0.0,0,4.0,0.0,0,17,0.0
00-0033857,2017,PIT,13,0.0,0,0.0,0.0,0,58,917.0,7,197.7,0.0,0,16,9.632623327477233
00-0033857,2018,PIT,16,0.0,0,0.0,13.0,0,111,1426.0,7,296.9,1.0,1,16,8.866940291919404
00-0033857,2019,PIT,12,0.0,0,0.0,0.0,0,42,552.0,3,113.2,1.0,0,17,6.946330994663911
00-0033857,2020,PIT,16,0.0,0,0.0,0.0,0,97,831.0,9,234.1,1.0,1,16,7.392493373316178
00-0033857,2021,PIT,5,0.0,0,0.0,9.0,1,15,129.0,0,34.8,0.0,0,17,6.156541081977924
00-0033857,2022,KC,16,0.0,0,0.0,0.0,0,78,933.0,3,185.3,2.0,0,17,7.360635456179171
00-0033857,2023,NE,11,0.0,0,0.0,0.0,0,29,260.0,1,61.0,0.0,0,17,3.991832658890186
00-0033858,2017,TEN,13,0.0,0,0.0,0.0,0,18,157.0,2,45.699997,0.0,0,16,3.673519174411132
00-0033858,2018,TEN,11,0.0,0,0.0,0.0,0,20,258.0,3,63.8,0.0,0,16,5.472293867051537
00-0033858,2019,TEN,15,0.0,0,0.0,78.0,0,35,439.0,3,104.7,0.0,0,17,6.2936702457761635
00-0033858,2020,TEN,14,0.0,0,0.0,4.0,1,41,448.0,8,140.2,0.0,0,16,6.810044242899656
00-0033858,2021,NE,15,0.0,0,0.0,40.0,0,28,294.0,1,67.4,0.0,0,17,3.354201339988136
00-0033858,2022,NE,12,0.0,0,0.0,5.0,0,27,245.0,0,52.0,0.0,0,17,2.869378622650558
00-0033858,2023,ATL,15,0.0,0,0.0,0.0,0,50,582.0,3,124.2,1.0,0,17,5.704910179228484
00-0033859,2017,CIN,9,0.0,0,0.0,2.0,0,6,63.0,1,18.5,0.0,0,16,3.7195803246461994
00-0033859,2018,CIN,3,0.0,0,0.0,0.0,0,1,12.0,0,2.2,0.0,0,16,1.2701706197473828
00-0033859,2020,NYJ,1,0.0,0,0.0,12.0,0,4,16.0,0,6.8,0.0,0,16,
00-0033869,2017,CHI,12,2193.0,7,7.0,248.0,2,0,0.0,0,134.52,3.0,1,16,5.369716596333701
00-0033869,2018,CHI,14,3223.0,24,12.0,421.0,3,0,0.0,0,263.02,3.0,4,16,11.80747760037389
00-0033869,2019,CHI,15,3138.0,17,10.0,193.0,2,0,0.0,0,202.82,2.0,1,17,8.658711709658325
00-0033869,2020,CHI,10,2055.0,16,8.0,195.0,1,0,0.0,0,153.7,2.0,1,16,7.675023117075151
00-0033869,2021,BUF,5,43.0,0,1.0,24.0,1,0,0.0,0,8.12,0.0,0,17,3.3847718544113685
00-0033869,2022,PIT,7,1252.0,4,5.0,38.0,2,0,0.0,0,73.88,0.0,1,17,4.511950226810374
00-0033869,2023,PIT,5,632.0,4,5.0,54.0,2,0,0.0,0,48.68,1.0,1,17,7.440502766541712
00-0033871,2017,TEN,11,0.0,0,0.0,0.0,0,34,375.0,0,71.5,0.0,0,16,4.535416210520908
00-0033871,2018,TEN,16,0.0,0,0.0,55.0,0,65,891.0,4,183.6,0.0,0,16,8.34102315869707
00-0033871,2019,TEN,15,0.0,0,0.0,0.0,0,43,601.0,2,115.1,0.0,0,17,5.565001216565633
00-0033871,2020,TEN,14,0.0,0,0.0,0.0,0,65,984.0,5,191.4,1.0,0,16,9.670528527473769
00-0033871,2021,NYJ,9,0.0,0,0.0,0.0,0,34,492.0,4,105.2,1.0,0,17,8.00943909499249
00-0033871,2022,NYJ,13,0.0,0,0.0,0.0,0,32,536.0,2,97.6,0.0,0,17,6.013659494872871
00-0033873,2017,KC,1,284.0,0,1.0,10.0,0,0,0.0,0,10.36,0.0,0,16,
00-0033873,2018,KC,16,5097.0,50,12.0,272.0,2,0,0.0,0,417.08,2.0,1,16,6.762464297035753
00-0033873,2019,KC,14,4031.0,26,5.0,218.0,2,0,0.0,0,287.04,2.0,1,17,7.292090087610781
00-0033873,2020,KC,15,4740.0,38,6.0,308.0,2,0,0.0,0,374.4,2.0,3,16,7.658660765139639
00-0033873,2021,KC,17,4839.0,37,13.0,381.0,2,0,0.0,0,361.66,4.0,2,17,8.697979080802558
00-0033873,2022,KC,17,5250.0,41,12.0,358.0,4,1,6.0,0,417.4,0.0,3,17,6.4663900026204875
00-0033873,2023,KC,16,4183.0,27,14.0,389.0,0,0,0.0,0,280.22,3.0,0,17,6.319117045872221
00-0033879,2017,TB,13,0.0,0,0.0,0.0,0,26,432.0,6,101.2,2.0,0,16,8.045479515047973
00-0033879,2018,TB,10,0.0,0,0.0,0.0,0,34,565.0,5,120.5,0.0,0,16,6.898349150834387
00-0033879,2019,TB,12,0.0,0,0.0,0.0,0,34,459.0,1,83.9,1.0,0,17,4.361496532412693
00-0033879,2020,TB,4,0.0,0,0.0,0.0,0,11,146.0,2,37.6,0.0,0,16,5.607732884467306
00-0033879,2021,TB,9,0.0,0,0.0,0.0,0,14,135.0,1,33.5,0.0,0,17,5.132196728423338
00-0033879,2022,HOU,11,0.0,0,0.0,0.0,0,10,145.0,2,36.5,0.0,0,17,5.122463673882934
00-0033881,2017,NYG,15,0.0,0,0.0,14.0,0,64,722.0,6,173.6,0.0,0,16,7.091490586233011
00-0033881,2018,NYG,11,0.0,0,0.0,36.0,0,45,577.0,3,126.3,0.0,1,16,6.413706969809623
00-0033881,2019,NYG,8,0.0,0,0.0,7.0,0,44,467.0,3,109.4,0.0,0,17,8.484060680595785
00-0033881,2020,NYG,16,0.0,0,0.0,26.0,1,63,654.0,1,141.0,1.0,0,16,4.581684519885741
00-0033881,2021,NYG,15,0.0,0,0.0,-3.0,0,46,408.0,3,102.5,1.0,0,17,3.9440129531189916
00-0033881,2022,JAX,17,0.0,0,0.0,13.0,0,73,766.0,4,176.9,0.0,1,17,9.07589334533399
00-0033881,2023,JAX,17,0.0,0,0.0,0.0,0,114,963.0,4,230.3,2.0,0,17,7.271100142064115
00-0033885,2017,CLE,16,0.0,0,0.0,1.0,0,32,386.0,4,94.7,0.0,0,16,5.0724376653266425
00-0033885,2018,CLE,15,0.0,0,0.0,0.0,0,56,639.0,4,143.9,0.0,0,16,5.249144872046675
00-0033885,2019,CLE,3,0.0,0,0.0,0.0,0,5,41.0,1,15.099999,0.0,0,17,7.538125215656959
00-0033885,2020,CLE,11,0.0,0,0.0,0.0,0,19,213.0,2,52.3,0.0,0,16,4.2940339026408765
00-0033885,2021,CLE,15,0.0,0,0.0,1.0,0,36,475.0,4,107.6,0.0,0,17,6.942772835235611
00-0033885,2022,CLE,14,0.0,0,0.0,-8.0,0,58,628.0,4,142.0,1.0,0,17,6.648737802706216
00-0033885,2023,CLE,16,0.0,0,0.0,0.0,0,81,882.0,6,201.2,2.0,0,17,7.069323381992032
00-0033891,2017,BUF,14,0.0,0,0.0,0.0,0,27,316.0,2,70.6,0.0,0,16,5.089312123542136
00-0033891,2018,BUF,16,0.0,0,0.0,0.0,0,56,652.0,7,165.2,0.0,1,16,8.506193780566125
00-0033891,2019,BUF,14,0.0,0,0.0,3.0,0,27,216.0,0,48.9,0.0,0,17,1.4472596359553334
00-0033891,2020,LV,11,29.0,0,0.0,0.0,0,14,154.0,1,36.559998,0.0,0,16,2.8564567494535402
00-0033891,2021,LV,15,0.0,0,0.0,3.0,0,47,546.0,1,105.9,1.0,0,17,5.345465319357323
00-0033891,2022,JAX,16,0.0,0,0.0,18.0,0,82,823.0,5,198.1,0.0,1,17,9.736407494197831
00-0033891,2023,JAX,9,0.0,0,0.0,0.0,0,34,321.0,2,78.1,0.0,0,17,5.264925872141629
00-0033893,2017,MIN,4,0.0,0,0.0,354.0,2,11,90.0,0,65.4,1.0,0,16,8.41288695595607
00-0033893,2018,MIN,11,0.0,0,0.0,615.0,2,40,305.0,2,152.0,2.0,0,16,7.73845163186211
00-0033893,2019,MIN,14,0.0,0,0.0,1135.0,13,53,519.0,0,292.4,2.0,0,17,7.329482696273521
00-0033893,2020,MIN,14,0.0,0,0.0,1557.0,16,44,361.0,1,337.8,3.0,3,16,9.95585846084514
00-0033893,2021,MIN,13,0.0,0,0.0,1159.0,6,34,224.0,0,206.3,2.0,1,17,8.482667076925129
00-0033893,2022,MIN,17,0.0,0,0.0,1173.0,8,39,295.0,2,237.8,4.0,0,17,7.423516943275055
00-0033893,2023,NYJ,14,0.0,0,0.0,214.0,0,15,78.0,0,40.2,2.0,0,17,2.2611870163011383
00-0033895,2017,LA,13,0.0,0,0.0,13.0,0,16,244.0,2,51.699997,1.0,0,16,3.7930097524119133
00-0033895,2018,LA,15,0.0,0,0.0,16.0,0,33,320.0,3,86.6,0.0,1,16,5.255128950142817
00-0033895,2019,LA,12,0.0,0,0.0,0.0,0,37,408.0,2,89.8,0.0,0,17,6.894376306682105
00-0033895,2020,LA,15,0.0,0,0.0,2.0,1,41,417.0,1,92.899994,1.0,0,16,3.521255177029887
00-0033895,2021,SEA,15,0.0,0,0.0,20.0,0,48,478.0,4,117.799995,2.0,0,17,5.124571888574392
00-0033895,2022,LAC,15,0.0,0,0.0,0.0,0,58,555.0,4,139.5,0.0,1,17,4.161730423986412
00-0033895,2023,LAC,15,0.0,0,0.0,10.0,0,51,411.0,3,111.1,0.0,0,17,4.08577092538626
00-0033896,2017,CHI,6,0.0,0,0.0,0.0,0,12,127.0,3,42.7,0.0,0,16,6.16681980527573
00-0033896,2018,CHI,4,0.0,0,0.0,0.0,0,5,48.0,1,17.8,0.0,1,16,3.3570820872696823
00-0033896,2019,CHI,7,0.0,0,0.0,0.0,0,9,74.0,0,18.4,0.0,1,17,2.519731690762686
00-0033896,2020,MIA,13,0.0,0,0.0,0.0,0,12,150.0,3,45.0,0.0,0,16,4.136532134025778
00-0033896,2021,MIA,7,0.0,0,0.0,0.0,0,12,110.0,0,23.0,0.0,0,17,2.358974829126335
00-0033897,2017,CIN,14,0.0,0,0.0,626.0,4,30,287.0,0,141.3,2.0,0,16,5.3532829121056915
00-0033897,2018,CIN,14,0.0,0,0.0,1168.0,8,43,296.0,1,243.4,0.0,0,16,7.413278643473749
00-0033897,2019,CIN,16,0.0,0,0.0,1137.0,5,35,287.0,3,225.4,0.0,0,17,7.736741447236967
00-0033897,2020,CIN,6,0.0,0,0.0,428.0,3,21,138.0,1,99.6,1.0,0,16,13.011071618768845
00-0033897,2021,CIN,16,0.0,0,0.0,1205.0,13,42,314.0,3,287.9,1.0,0,17,9.120706632166009
00-0033897,2022,CIN,14,0.0,0,0.0,814.0,7,60,441.0,2,239.5,0.0,0,17,11.69657796238038
00-0033897,2023,CIN,17,0.0,0,0.0,1034.0,9,52,376.0,3,267.0,0.0,1,17,6.226201914643261
00-0033899,2017,CLE,15,2894.0,11,22.0,419.0,5,0,0.0,0,175.66,6.0,0,16,8.915712822880169
00-0033899,2018,GB,3,187.0,0,2.0,39.0,0,0,0.0,0,5.38,1.0,0,16,4.827021267402872
00-0033906,2017,NO,16,0.0,0,0.0,728.0,8,81,826.0,5,320.4,1.0,1,16,9.49424386091673
00-0033906,2018,NO,15,0.0,0,0.0,883.0,14,81,709.0,4,354.2,0.0,3,16,10.778143254185007
00-0033906,2019,NO,14,13.0,0,0.0,797.0,5,81,533.0,1,248.52,1.0,0,17,8.377081028611627
00-0033906,2020,NO,15,0.0,0,0.0,932.0,16,83,756.0,5,377.8,0.0,0,16,13.191332259150833
00-0033906,2021,NO,13,0.0,0,0.0,898.0,4,47,439.0,5,234.7,0.0,0,17,8.51710223981447
00-0033906,2022,NO,15,0.0,0,0.0,897.0,2,57,490.0,2,211.7,4.0,0,17,9.546941489163473
00-0033906,2023,NO,13,0.0,0,0.0,694.0,5,75,466.0,1,233.0,0.0,3,17,7.252603265732868
00-0033908,2017,LA,15,0.0,0,0.0,0.0,0,62,869.0,5,176.9,1.0,0,16,6.002554999337649
00-0033908,2018,LA,8,0.0,0,0.0,25.0,0,40,566.0,6,135.1,0.0,0,16,10.490599739665724
