player_id,player_name,position
00-0010747,,RB
00-0010762,,WR
00-0010796,,WR
00-0010824,,WR
00-0010843,,WR
00-0010859,,TE
00-0010892,,WR
00-0010942,,WR
00-0010951,,RB
00-0010994,,RB
00-0011022,,QB
00-0011024,,QB
00-0011044,,QB
00-0011068,,TE
00-0011081,,RB
00-0011151,,WR
00-0011187,,WR
00-0011213,,WR
00-0011224,,TE
00-0011236,,TE
00-0011244,,QB
00-0011276,,QB
00-0011328,,WR
00-0011333,,RB
00-0011341,,RB
00-0011378,,QB
00-0011392,,RB
00-0011399,,RB
00-0011425,,TE
00-0011434,,QB
00-0011488,,TE
00-0011506,,RB
00-0011524,,QB
00-0011551,,TE
00-0011568,,WR
00-0011601,,WR
00-0011640,,QB
00-0011675,,RB
00-0011718,,FB
00-0011727,,WR
00-0011754,,WR
00-0011770,,WR
00-0011795,,WR
00-0011854,,WR
00-0011869,,RB
00-0011932,,WR
00-0011958,,FB
00-0012261,,QB
00-0012317,,TE
00-0012321,,WR
00-0012368,,RB
00-0012370,,RB
00-0012478,,WR
00-0012480,,RB
00-0012515,,RB
00-0012556,,RB
00-0012603,,RB
00-0012637,,WR
00-0012642,,WR
00-0012726,,QB
00-0012732,,QB
00-0012764,,WR
00-0012832,,RB
00-0012931,,RB
00-0012946,,RB
00-0012953,,WR
00-0012971,,TE
00-0013013,,RB
00-0013042,,QB
00-0013080,,TE
00-0013097,,WR
00-0013173,,RB
00-0013176,,WR
00-0013232,,WR
00-0013258,,WR
00-0013262,,RB
00-0013268,,WR
00-0013298,,TE
00-0013308,,TE
00-0013422,,TE
00-0013499,,WR
00-0013512,,WR
00-0013523,,WR
00-0013622,,RB
00-0013639,,WR
00-0013694,,FB
00-0013712,,TE
00-0013728,,TE
00-0013770,,WR
00-0013773,,FB
00-0013785,,RB
00-0013792,,TE
00-0013888,,WR
00-0013958,,RB
00-0014211,,TE
00-0014256,,RB
00-0014319,,WR
00-0014328,,WR
00-0014350,,TE
00-0014450,,RB
00-0014489,,WR
00-0014544,,WR
00-0014655,,TE
00-0014722,,TE
00-0014729,,WR
00-0014733,,FB
00-0014742,,RB
00-0014753,,WR
00-0014759,,RB
00-0014775,,FB
00-0014790,,WR
00-0014809,,RB
00-0014918,,WR
00-0015048,,TE
00-0015053,,TE
00-0015063,,WR
00-0015082,,QB
00-0015091,,RB
00-0015152,,RB
00-0015161,,TE
00-0015165,,RB
00-0015195,,TE
00-0015218,,WR
00-0015242,,RB
00-0015286,,RB
00-0015290,,WR
00-0015331,,WR
00-0015420,,FB
00-0015452,,TE
00-0015507,,WR
00-0015523,,RB
00-0015627,,QB
00-0015655,,RB
00-0015698,,RB
00-0015700,,QB
00-0015723,,WR
00-0015751,,WR
00-0015754,,WR
00-0015759,,WR
